Offence,Section,Act,Definition,Points to Prove,CJS Code,Maximum Penalty,Charging Authority,Relevant Case Law,Notes,Category
Corporate offence 680,81,Companies Act 2006,Fails to comply with corporate duties 680,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1998081,2 years imprisonment,CPS,R v Example680 [1989] 1 WLR 680,Corporate compliance 680,Corporate Crime
Theft variation 681,82,Theft Act 1968,Dishonestly appropriates property in specific circumstances 681,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1999082,7 years imprisonment,CPS,R v Example681 [1982] QB 681,Specific theft circumstances 681,Theft
Assault variation 682,83,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 682,"1. Assault, 2. Unlawfully, 3. Another person",AS2000083,5 years imprisonment,CPS,R v Example682 [1976] 1 WLR 682,Specific assault type 682,Assault
Drug offence variation 683,84,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 683,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2001084,14 years imprisonment,CPS,R v Example683 [1986] 82 Cr App R 683,Drug-related conduct 683,Drugs
Traffic offence variation 684,85,Road Traffic Act 1988,Contravenes road traffic regulations 684,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2002085,6 months imprisonment,Police,R v Example684 [1987] RTR 684,Road traffic violation 684,Traffic
Public order offence 685,86,Public Order Act 1986,Disrupts public order in specific manner 685,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2003086,6 months imprisonment,Police,R v Example685 [1987] QB 685,Public disorder 685,Public Order
Cybercrime offence 686,87,Computer Misuse Act 1990,Unlawfully uses computer systems 686,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2004087,10 years imprisonment,CPS,R v Example686 [2000] 2 AC 686,Digital crime 686,Cybercrime
Financial crime 687,88,Fraud Act 2006,Dishonestly obtains financial advantage 687,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2005088,10 years imprisonment,CPS,R v Example687 [2012] EWCA Crim 687,Economic offence 687,Financial Crime
Terrorism offence 688,89,Terrorism Act 2000,Engages in terrorist-related activity 688,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2006089,14 years imprisonment,CPS,R v Example688 [2007] EWCA Crim 688,National security threat 688,Terrorism
Environmental crime 689,90,Environmental Protection Act 1990,Causes environmental damage 689,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2007090,5 years imprisonment,Environment Agency,R v Example689 [1996] Env LR 689,Environmental damage 689,Environmental
Corporate offence 690,91,Companies Act 2006,Fails to comply with corporate duties 690,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC2008091,2 years imprisonment,CPS,R v Example690 [1989] 1 WLR 690,Corporate compliance 690,Corporate Crime
Theft variation 691,92,Theft Act 1968,Dishonestly appropriates property in specific circumstances 691,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH2009092,7 years imprisonment,CPS,R v Example691 [1982] QB 691,Specific theft circumstances 691,Theft
Assault variation 692,93,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 692,"1. Assault, 2. Unlawfully, 3. Another person",AS2010093,5 years imprisonment,CPS,R v Example692 [1976] 1 WLR 692,Specific assault type 692,Assault
Drug offence variation 693,94,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 693,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2011094,14 years imprisonment,CPS,R v Example693 [1986] 82 Cr App R 693,Drug-related conduct 693,Drugs
Traffic offence variation 694,95,Road Traffic Act 1988,Contravenes road traffic regulations 694,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2012095,6 months imprisonment,Police,R v Example694 [1987] RTR 694,Road traffic violation 694,Traffic
Public order offence 695,96,Public Order Act 1986,Disrupts public order in specific manner 695,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2013096,6 months imprisonment,Police,R v Example695 [1987] QB 695,Public disorder 695,Public Order
Cybercrime offence 696,97,Computer Misuse Act 1990,Unlawfully uses computer systems 696,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2014097,10 years imprisonment,CPS,R v Example696 [2000] 2 AC 696,Digital crime 696,Cybercrime
Financial crime 697,98,Fraud Act 2006,Dishonestly obtains financial advantage 697,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2015098,10 years imprisonment,CPS,R v Example697 [2012] EWCA Crim 697,Economic offence 697,Financial Crime
Terrorism offence 698,99,Terrorism Act 2000,Engages in terrorist-related activity 698,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2016099,14 years imprisonment,CPS,R v Example698 [2007] EWCA Crim 698,National security threat 698,Terrorism
Environmental crime 699,100,Environmental Protection Act 1990,Causes environmental damage 699,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2017100,5 years imprisonment,Environment Agency,R v Example699 [1996] Env LR 699,Environmental damage 699,Environmental
Corporate offence 700,1,Companies Act 2006,Fails to comply with corporate duties 700,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1968001,2 years imprisonment,CPS,R v Example700 [1989] 1 WLR 700,Corporate compliance 700,Corporate Crime
Theft variation 701,2,Theft Act 1968,Dishonestly appropriates property in specific circumstances 701,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1969002,7 years imprisonment,CPS,R v Example701 [1982] QB 701,Specific theft circumstances 701,Theft
Assault variation 702,3,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 702,"1. Assault, 2. Unlawfully, 3. Another person",AS1970003,5 years imprisonment,CPS,R v Example702 [1976] 1 WLR 702,Specific assault type 702,Assault
Drug offence variation 703,4,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 703,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1971004,14 years imprisonment,CPS,R v Example703 [1986] 82 Cr App R 703,Drug-related conduct 703,Drugs
Traffic offence variation 704,5,Road Traffic Act 1988,Contravenes road traffic regulations 704,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1972005,6 months imprisonment,Police,R v Example704 [1987] RTR 704,Road traffic violation 704,Traffic
Public order offence 705,6,Public Order Act 1986,Disrupts public order in specific manner 705,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1973006,6 months imprisonment,Police,R v Example705 [1987] QB 705,Public disorder 705,Public Order
Cybercrime offence 706,7,Computer Misuse Act 1990,Unlawfully uses computer systems 706,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1974007,10 years imprisonment,CPS,R v Example706 [2000] 2 AC 706,Digital crime 706,Cybercrime
Financial crime 707,8,Fraud Act 2006,Dishonestly obtains financial advantage 707,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1975008,10 years imprisonment,CPS,R v Example707 [2012] EWCA Crim 707,Economic offence 707,Financial Crime
Terrorism offence 708,9,Terrorism Act 2000,Engages in terrorist-related activity 708,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1976009,14 years imprisonment,CPS,R v Example708 [2007] EWCA Crim 708,National security threat 708,Terrorism
Environmental crime 709,10,Environmental Protection Act 1990,Causes environmental damage 709,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1977010,5 years imprisonment,Environment Agency,R v Example709 [1996] Env LR 709,Environmental damage 709,Environmental
Corporate offence 710,11,Companies Act 2006,Fails to comply with corporate duties 710,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1978011,2 years imprisonment,CPS,R v Example710 [1989] 1 WLR 710,Corporate compliance 710,Corporate Crime
Theft variation 711,12,Theft Act 1968,Dishonestly appropriates property in specific circumstances 711,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1979012,7 years imprisonment,CPS,R v Example711 [1982] QB 711,Specific theft circumstances 711,Theft
Assault variation 712,13,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 712,"1. Assault, 2. Unlawfully, 3. Another person",AS1980013,5 years imprisonment,CPS,R v Example712 [1976] 1 WLR 712,Specific assault type 712,Assault
Drug offence variation 713,14,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 713,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1981014,14 years imprisonment,CPS,R v Example713 [1986] 82 Cr App R 713,Drug-related conduct 713,Drugs
Traffic offence variation 714,15,Road Traffic Act 1988,Contravenes road traffic regulations 714,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1982015,6 months imprisonment,Police,R v Example714 [1987] RTR 714,Road traffic violation 714,Traffic
Public order offence 715,16,Public Order Act 1986,Disrupts public order in specific manner 715,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1983016,6 months imprisonment,Police,R v Example715 [1987] QB 715,Public disorder 715,Public Order
Cybercrime offence 716,17,Computer Misuse Act 1990,Unlawfully uses computer systems 716,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1984017,10 years imprisonment,CPS,R v Example716 [2000] 2 AC 716,Digital crime 716,Cybercrime
Financial crime 717,18,Fraud Act 2006,Dishonestly obtains financial advantage 717,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1985018,10 years imprisonment,CPS,R v Example717 [2012] EWCA Crim 717,Economic offence 717,Financial Crime
Terrorism offence 718,19,Terrorism Act 2000,Engages in terrorist-related activity 718,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1986019,14 years imprisonment,CPS,R v Example718 [2007] EWCA Crim 718,National security threat 718,Terrorism
Environmental crime 719,20,Environmental Protection Act 1990,Causes environmental damage 719,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1987020,5 years imprisonment,Environment Agency,R v Example719 [1996] Env LR 719,Environmental damage 719,Environmental
Corporate offence 720,21,Companies Act 2006,Fails to comply with corporate duties 720,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1988021,2 years imprisonment,CPS,R v Example720 [1989] 1 WLR 720,Corporate compliance 720,Corporate Crime
Theft variation 721,22,Theft Act 1968,Dishonestly appropriates property in specific circumstances 721,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1989022,7 years imprisonment,CPS,R v Example721 [1982] QB 721,Specific theft circumstances 721,Theft
Assault variation 722,23,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 722,"1. Assault, 2. Unlawfully, 3. Another person",AS1990023,5 years imprisonment,CPS,R v Example722 [1976] 1 WLR 722,Specific assault type 722,Assault
Drug offence variation 723,24,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 723,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1991024,14 years imprisonment,CPS,R v Example723 [1986] 82 Cr App R 723,Drug-related conduct 723,Drugs
Traffic offence variation 724,25,Road Traffic Act 1988,Contravenes road traffic regulations 724,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1992025,6 months imprisonment,Police,R v Example724 [1987] RTR 724,Road traffic violation 724,Traffic
Public order offence 725,26,Public Order Act 1986,Disrupts public order in specific manner 725,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1993026,6 months imprisonment,Police,R v Example725 [1987] QB 725,Public disorder 725,Public Order
Cybercrime offence 726,27,Computer Misuse Act 1990,Unlawfully uses computer systems 726,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1994027,10 years imprisonment,CPS,R v Example726 [2000] 2 AC 726,Digital crime 726,Cybercrime
Financial crime 727,28,Fraud Act 2006,Dishonestly obtains financial advantage 727,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1995028,10 years imprisonment,CPS,R v Example727 [2012] EWCA Crim 727,Economic offence 727,Financial Crime
Terrorism offence 728,29,Terrorism Act 2000,Engages in terrorist-related activity 728,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1996029,14 years imprisonment,CPS,R v Example728 [2007] EWCA Crim 728,National security threat 728,Terrorism
Environmental crime 729,30,Environmental Protection Act 1990,Causes environmental damage 729,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1997030,5 years imprisonment,Environment Agency,R v Example729 [1996] Env LR 729,Environmental damage 729,Environmental
Corporate offence 730,31,Companies Act 2006,Fails to comply with corporate duties 730,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1998031,2 years imprisonment,CPS,R v Example730 [1989] 1 WLR 730,Corporate compliance 730,Corporate Crime
Theft variation 731,32,Theft Act 1968,Dishonestly appropriates property in specific circumstances 731,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1999032,7 years imprisonment,CPS,R v Example731 [1982] QB 731,Specific theft circumstances 731,Theft
Assault variation 732,33,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 732,"1. Assault, 2. Unlawfully, 3. Another person",AS2000033,5 years imprisonment,CPS,R v Example732 [1976] 1 WLR 732,Specific assault type 732,Assault
Drug offence variation 733,34,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 733,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2001034,14 years imprisonment,CPS,R v Example733 [1986] 82 Cr App R 733,Drug-related conduct 733,Drugs
Traffic offence variation 734,35,Road Traffic Act 1988,Contravenes road traffic regulations 734,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2002035,6 months imprisonment,Police,R v Example734 [1987] RTR 734,Road traffic violation 734,Traffic
Public order offence 735,36,Public Order Act 1986,Disrupts public order in specific manner 735,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2003036,6 months imprisonment,Police,R v Example735 [1987] QB 735,Public disorder 735,Public Order
Cybercrime offence 736,37,Computer Misuse Act 1990,Unlawfully uses computer systems 736,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2004037,10 years imprisonment,CPS,R v Example736 [2000] 2 AC 736,Digital crime 736,Cybercrime
Financial crime 737,38,Fraud Act 2006,Dishonestly obtains financial advantage 737,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2005038,10 years imprisonment,CPS,R v Example737 [2012] EWCA Crim 737,Economic offence 737,Financial Crime
Terrorism offence 738,39,Terrorism Act 2000,Engages in terrorist-related activity 738,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2006039,14 years imprisonment,CPS,R v Example738 [2007] EWCA Crim 738,National security threat 738,Terrorism
Environmental crime 739,40,Environmental Protection Act 1990,Causes environmental damage 739,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2007040,5 years imprisonment,Environment Agency,R v Example739 [1996] Env LR 739,Environmental damage 739,Environmental
Corporate offence 740,41,Companies Act 2006,Fails to comply with corporate duties 740,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC2008041,2 years imprisonment,CPS,R v Example740 [1989] 1 WLR 740,Corporate compliance 740,Corporate Crime
Theft variation 741,42,Theft Act 1968,Dishonestly appropriates property in specific circumstances 741,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH2009042,7 years imprisonment,CPS,R v Example741 [1982] QB 741,Specific theft circumstances 741,Theft
Assault variation 742,43,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 742,"1. Assault, 2. Unlawfully, 3. Another person",AS2010043,5 years imprisonment,CPS,R v Example742 [1976] 1 WLR 742,Specific assault type 742,Assault
Drug offence variation 743,44,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 743,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2011044,14 years imprisonment,CPS,R v Example743 [1986] 82 Cr App R 743,Drug-related conduct 743,Drugs
Traffic offence variation 744,45,Road Traffic Act 1988,Contravenes road traffic regulations 744,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2012045,6 months imprisonment,Police,R v Example744 [1987] RTR 744,Road traffic violation 744,Traffic
Public order offence 745,46,Public Order Act 1986,Disrupts public order in specific manner 745,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2013046,6 months imprisonment,Police,R v Example745 [1987] QB 745,Public disorder 745,Public Order
Cybercrime offence 746,47,Computer Misuse Act 1990,Unlawfully uses computer systems 746,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2014047,10 years imprisonment,CPS,R v Example746 [2000] 2 AC 746,Digital crime 746,Cybercrime
Financial crime 747,48,Fraud Act 2006,Dishonestly obtains financial advantage 747,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2015048,10 years imprisonment,CPS,R v Example747 [2012] EWCA Crim 747,Economic offence 747,Financial Crime
Terrorism offence 748,49,Terrorism Act 2000,Engages in terrorist-related activity 748,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2016049,14 years imprisonment,CPS,R v Example748 [2007] EWCA Crim 748,National security threat 748,Terrorism
Environmental crime 749,50,Environmental Protection Act 1990,Causes environmental damage 749,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2017050,5 years imprisonment,Environment Agency,R v Example749 [1996] Env LR 749,Environmental damage 749,Environmental
Corporate offence 750,51,Companies Act 2006,Fails to comply with corporate duties 750,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1968051,2 years imprisonment,CPS,R v Example750 [1989] 1 WLR 750,Corporate compliance 750,Corporate Crime
Theft variation 751,52,Theft Act 1968,Dishonestly appropriates property in specific circumstances 751,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1969052,7 years imprisonment,CPS,R v Example751 [1982] QB 751,Specific theft circumstances 751,Theft
Assault variation 752,53,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 752,"1. Assault, 2. Unlawfully, 3. Another person",AS1970053,5 years imprisonment,CPS,R v Example752 [1976] 1 WLR 752,Specific assault type 752,Assault
Drug offence variation 753,54,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 753,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1971054,14 years imprisonment,CPS,R v Example753 [1986] 82 Cr App R 753,Drug-related conduct 753,Drugs
Traffic offence variation 754,55,Road Traffic Act 1988,Contravenes road traffic regulations 754,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1972055,6 months imprisonment,Police,R v Example754 [1987] RTR 754,Road traffic violation 754,Traffic
Public order offence 755,56,Public Order Act 1986,Disrupts public order in specific manner 755,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1973056,6 months imprisonment,Police,R v Example755 [1987] QB 755,Public disorder 755,Public Order
Cybercrime offence 756,57,Computer Misuse Act 1990,Unlawfully uses computer systems 756,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1974057,10 years imprisonment,CPS,R v Example756 [2000] 2 AC 756,Digital crime 756,Cybercrime
Financial crime 757,58,Fraud Act 2006,Dishonestly obtains financial advantage 757,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1975058,10 years imprisonment,CPS,R v Example757 [2012] EWCA Crim 757,Economic offence 757,Financial Crime
Terrorism offence 758,59,Terrorism Act 2000,Engages in terrorist-related activity 758,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1976059,14 years imprisonment,CPS,R v Example758 [2007] EWCA Crim 758,National security threat 758,Terrorism
Environmental crime 759,60,Environmental Protection Act 1990,Causes environmental damage 759,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1977060,5 years imprisonment,Environment Agency,R v Example759 [1996] Env LR 759,Environmental damage 759,Environmental
Corporate offence 760,61,Companies Act 2006,Fails to comply with corporate duties 760,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1978061,2 years imprisonment,CPS,R v Example760 [1989] 1 WLR 760,Corporate compliance 760,Corporate Crime
Theft variation 761,62,Theft Act 1968,Dishonestly appropriates property in specific circumstances 761,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1979062,7 years imprisonment,CPS,R v Example761 [1982] QB 761,Specific theft circumstances 761,Theft
Assault variation 762,63,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 762,"1. Assault, 2. Unlawfully, 3. Another person",AS1980063,5 years imprisonment,CPS,R v Example762 [1976] 1 WLR 762,Specific assault type 762,Assault
Drug offence variation 763,64,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 763,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1981064,14 years imprisonment,CPS,R v Example763 [1986] 82 Cr App R 763,Drug-related conduct 763,Drugs
Traffic offence variation 764,65,Road Traffic Act 1988,Contravenes road traffic regulations 764,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1982065,6 months imprisonment,Police,R v Example764 [1987] RTR 764,Road traffic violation 764,Traffic
Public order offence 765,66,Public Order Act 1986,Disrupts public order in specific manner 765,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1983066,6 months imprisonment,Police,R v Example765 [1987] QB 765,Public disorder 765,Public Order
Cybercrime offence 766,67,Computer Misuse Act 1990,Unlawfully uses computer systems 766,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1984067,10 years imprisonment,CPS,R v Example766 [2000] 2 AC 766,Digital crime 766,Cybercrime
Financial crime 767,68,Fraud Act 2006,Dishonestly obtains financial advantage 767,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1985068,10 years imprisonment,CPS,R v Example767 [2012] EWCA Crim 767,Economic offence 767,Financial Crime
Terrorism offence 768,69,Terrorism Act 2000,Engages in terrorist-related activity 768,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1986069,14 years imprisonment,CPS,R v Example768 [2007] EWCA Crim 768,National security threat 768,Terrorism
Environmental crime 769,70,Environmental Protection Act 1990,Causes environmental damage 769,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1987070,5 years imprisonment,Environment Agency,R v Example769 [1996] Env LR 769,Environmental damage 769,Environmental
Corporate offence 770,71,Companies Act 2006,Fails to comply with corporate duties 770,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1988071,2 years imprisonment,CPS,R v Example770 [1989] 1 WLR 770,Corporate compliance 770,Corporate Crime
Theft variation 771,72,Theft Act 1968,Dishonestly appropriates property in specific circumstances 771,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1989072,7 years imprisonment,CPS,R v Example771 [1982] QB 771,Specific theft circumstances 771,Theft
Assault variation 772,73,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 772,"1. Assault, 2. Unlawfully, 3. Another person",AS1990073,5 years imprisonment,CPS,R v Example772 [1976] 1 WLR 772,Specific assault type 772,Assault
Drug offence variation 773,74,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 773,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1991074,14 years imprisonment,CPS,R v Example773 [1986] 82 Cr App R 773,Drug-related conduct 773,Drugs
Traffic offence variation 774,75,Road Traffic Act 1988,Contravenes road traffic regulations 774,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1992075,6 months imprisonment,Police,R v Example774 [1987] RTR 774,Road traffic violation 774,Traffic
Public order offence 775,76,Public Order Act 1986,Disrupts public order in specific manner 775,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1993076,6 months imprisonment,Police,R v Example775 [1987] QB 775,Public disorder 775,Public Order
Cybercrime offence 776,77,Computer Misuse Act 1990,Unlawfully uses computer systems 776,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1994077,10 years imprisonment,CPS,R v Example776 [2000] 2 AC 776,Digital crime 776,Cybercrime
Financial crime 777,78,Fraud Act 2006,Dishonestly obtains financial advantage 777,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1995078,10 years imprisonment,CPS,R v Example777 [2012] EWCA Crim 777,Economic offence 777,Financial Crime
Terrorism offence 778,79,Terrorism Act 2000,Engages in terrorist-related activity 778,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1996079,14 years imprisonment,CPS,R v Example778 [2007] EWCA Crim 778,National security threat 778,Terrorism
Environmental crime 779,80,Environmental Protection Act 1990,Causes environmental damage 779,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1997080,5 years imprisonment,Environment Agency,R v Example779 [1996] Env LR 779,Environmental damage 779,Environmental
Corporate offence 780,81,Companies Act 2006,Fails to comply with corporate duties 780,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1998081,2 years imprisonment,CPS,R v Example780 [1989] 1 WLR 780,Corporate compliance 780,Corporate Crime
Theft variation 781,82,Theft Act 1968,Dishonestly appropriates property in specific circumstances 781,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1999082,7 years imprisonment,CPS,R v Example781 [1982] QB 781,Specific theft circumstances 781,Theft
Assault variation 782,83,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 782,"1. Assault, 2. Unlawfully, 3. Another person",AS2000083,5 years imprisonment,CPS,R v Example782 [1976] 1 WLR 782,Specific assault type 782,Assault
Drug offence variation 783,84,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 783,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2001084,14 years imprisonment,CPS,R v Example783 [1986] 82 Cr App R 783,Drug-related conduct 783,Drugs
Traffic offence variation 784,85,Road Traffic Act 1988,Contravenes road traffic regulations 784,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2002085,6 months imprisonment,Police,R v Example784 [1987] RTR 784,Road traffic violation 784,Traffic
Public order offence 785,86,Public Order Act 1986,Disrupts public order in specific manner 785,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2003086,6 months imprisonment,Police,R v Example785 [1987] QB 785,Public disorder 785,Public Order
Cybercrime offence 786,87,Computer Misuse Act 1990,Unlawfully uses computer systems 786,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2004087,10 years imprisonment,CPS,R v Example786 [2000] 2 AC 786,Digital crime 786,Cybercrime
Financial crime 787,88,Fraud Act 2006,Dishonestly obtains financial advantage 787,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2005088,10 years imprisonment,CPS,R v Example787 [2012] EWCA Crim 787,Economic offence 787,Financial Crime
Terrorism offence 788,89,Terrorism Act 2000,Engages in terrorist-related activity 788,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2006089,14 years imprisonment,CPS,R v Example788 [2007] EWCA Crim 788,National security threat 788,Terrorism
Environmental crime 789,90,Environmental Protection Act 1990,Causes environmental damage 789,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2007090,5 years imprisonment,Environment Agency,R v Example789 [1996] Env LR 789,Environmental damage 789,Environmental
Corporate offence 790,91,Companies Act 2006,Fails to comply with corporate duties 790,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC2008091,2 years imprisonment,CPS,R v Example790 [1989] 1 WLR 790,Corporate compliance 790,Corporate Crime
Theft variation 791,92,Theft Act 1968,Dishonestly appropriates property in specific circumstances 791,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH2009092,7 years imprisonment,CPS,R v Example791 [1982] QB 791,Specific theft circumstances 791,Theft
Assault variation 792,93,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 792,"1. Assault, 2. Unlawfully, 3. Another person",AS2010093,5 years imprisonment,CPS,R v Example792 [1976] 1 WLR 792,Specific assault type 792,Assault
Drug offence variation 793,94,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 793,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2011094,14 years imprisonment,CPS,R v Example793 [1986] 82 Cr App R 793,Drug-related conduct 793,Drugs
Traffic offence variation 794,95,Road Traffic Act 1988,Contravenes road traffic regulations 794,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2012095,6 months imprisonment,Police,R v Example794 [1987] RTR 794,Road traffic violation 794,Traffic
Public order offence 795,96,Public Order Act 1986,Disrupts public order in specific manner 795,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2013096,6 months imprisonment,Police,R v Example795 [1987] QB 795,Public disorder 795,Public Order
